rank,gid,role,priority_score,why
1,100000008603629100,coordinator,1.000000,"Связующий узел: посредничество ≥ p99, 9 других кластеров, 13 хабов (score 1.0000). роль=coordinator, score=1.0000 (вклад 0.2500); наблюдаемый вход=1.8173e+06 (вклад 0.2476). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
2,100000000331309100,coordinator,0.995512,"Связующий узел: посредничество ≥ p99, 13 других кластеров, 8 хабов (score 1.0000). роль=coordinator, score=1.0000 (вклад 0.2500); наблюдаемый вход=984635 (вклад 0.2431). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
3,100000005910114100,coordinator,0.967913,"Связующий узел: посредничество ≥ p99, 6 других кластеров, 12 хабов (score 1.0000). роль=coordinator, score=1.0000 (вклад 0.2500); наблюдаемый вход=326144 (вклад 0.2172). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
4,100000008165763100,consolidator,0.961261,"Признаки консолидации: 15 отправителей (порог 5) (score 1.0000). наблюдаемый вход=1.16582e+06 (вклад 0.2451); роль=consolidator, score=1.0000 (вклад 0.2000). Рекомендуется проверить контрагентов и полноту исходящих переводов."
5,100000008346837100,coordinator,0.959466,"Связующий узел: посредничество ≥ p99, 7 других кластеров, 4 хабов (score 1.0000). роль=coordinator, score=1.0000 (вклад 0.2500); наблюдаемый вход=254359 (вклад 0.2086). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
6,100000000437046100,coordinator,0.956589,"Связующий узел: посредничество ≥ p99, 8 других кластеров, 11 хабов (score 0.8508). наблюдаемый вход=1.1072e+06 (вклад 0.2446); роль=coordinator, score=0.8508 (вклад 0.2127). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
7,100000008477350100,coordinator,0.955098,"Связующий узел: посредничество ≥ p99, 4 других кластеров, 8 хабов (score 0.8776). наблюдаемый вход=610100 (вклад 0.2374); роль=coordinator, score=0.8776 (вклад 0.2194). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
8,100000003115284100,consolidator,0.925897,Признаки консолидации: 8 отправителей (порог 5) (score 0.8000). наблюдаемый вход=2.1605e+06 (вклад 0.2484); посредничество=0.000127805 (вклад 0.1885). Рекомендуется проверить контрагентов и полноту исходящих переводов.
9,100000004015047100,consolidator,0.924475,"Признаки консолидации: 9 отправителей (порог 5) (score 0.9000). наблюдаемый вход=919104 (вклад 0.2430); роль=consolidator, score=0.9000 (вклад 0.1800). Рекомендуется проверить контрагентов и полноту исходящих переводов."
10,100000004400305100,coordinator,0.923070,"Связующий узел: посредничество ≥ p99, 9 других кластеров, 16 хабов (score 0.8853). роль=coordinator, score=0.8853 (вклад 0.2213); наблюдаемый вход=222800 (вклад 0.2025). отдаёт больше наблюдаемого входа — вероятны внешние поступления. Рекомендуется проверить контрагентов и полноту исходящих переводов."
